SampleName,AcqMethod,RackCode,VialPos,SmplInjVol,OutputFile
719-1,test,Rack 6,48,1,719-1
719-2,test,Rack 6,47,1,719-2
719-3,test,Rack 6,46,1,719-3
719-4,test,Rack 6,45,1,719-4
719-5,test,Rack 6,44,1,719-5
719-6,test,Rack 6,43,1,719-6
719-7,test,Rack 6,42,1,719-7
719-8,test,Rack 6,41,1,719-8
719-9,test,Rack 6,33,1,719-9
719-10,test,Rack 6,34,1,719-10
719-11,test,Rack 6,35,1,719-11
719-12,test,Rack 6,36,1,719-12
