z:\data\787-2.D Wed Mar 18 12:52:08 2026
Start of data points
4.09687,10272
4.10690,10161
4.11695,10062
4.12698,10259
4.13703,10020
4.14708,10019
4.15712,10614
4.16717,9835
4.17720,9084
4.18725,9736
4.19730,9470
4.20733,9313
4.21738,9555
4.22742,9229
4.23747,9006
4.24752,9070
4.25755,9594
4.26760,9553
4.27763,10626
4.28768,10563
4.29773,9917
4.30777,9017
4.31782,9065
4.32785,9700
4.33790,10260
4.34793,9630
4.35798,9318
4.36803,9118
4.37807,9523
4.38812,9069
4.39815,9221
4.40820,8958
4.41825,8977
4.42828,9689
4.43833,11090
4.44837,10521
4.45842,8661
4.46847,8867
4.47850,8699
4.48855,9016
4.49858,8533
4.50863,8485
4.51868,8436
4.52872,8877
4.53877,8789
4.54880,9381
4.55885,8797
4.56888,8459
4.57893,8467
4.58898,8357
4.59902,8763
4.60907,8222
4.61910,8332
4.62915,8559
4.63920,8872
4.64923,8628
4.65928,8564
4.66932,8585
4.67937,8702
4.68942,9231
4.69945,8671
4.70950,9021
4.71953,8992
4.72958,8269
4.73963,7865
4.74967,8202
4.75972,10053
4.76975,12189
4.77980,9280
4.78983,8861
4.79988,8105
4.80993,8322
4.81997,8528
4.83002,7789
4.84005,7986
4.85010,8204
4.86015,7868
4.87018,8187
4.88023,8375
4.89027,8103
4.90032,8154
4.91037,8259
4.92040,8370
4.93045,8241
4.94048,7939
4.95053,7867
4.96058,7994
4.97062,8287
4.98067,9543
4.99070,17327
5.00075,15388
5.01078,9631
5.02083,9183
5.03088,8322
5.04092,8216
5.05097,7781
5.06100,7868
5.07105,7579
5.08110,8083
5.09113,8115
5.10118,7478
5.11122,7549
5.12127,7987
5.13132,7828
5.14135,7908
5.15140,8747
5.16143,7865
5.17148,7641
5.18152,7318
5.19157,7401
5.20162,7732
5.21165,6904
5.22170,7484
5.23173,7701
5.24178,7439
5.25183,7674
5.26187,7466
5.27192,7484
5.28195,7363
5.29200,6985
5.30205,7605
5.31208,7692
5.32213,8124
5.33217,7767
5.34222,8177
5.35227,9268
5.36230,8169
5.37235,7480
5.38238,7111
5.39243,7013
5.40247,7025
5.41252,6722
5.42257,7249
5.43260,7040
5.44265,7262
5.45268,7345
5.46273,7359
5.47278,6789
5.48282,7154
5.49287,6816
5.50290,6198
5.51295,6441
5.52300,6406
5.53303,6885
5.54308,6326
5.55312,6391
5.56317,6762
5.57322,6754
5.58325,6572
5.59330,6704
5.60333,6625
5.61338,6734
5.62342,7669
5.63347,8639
5.64352,7394
5.65355,6754
5.66360,6595
5.67363,6554
5.68368,6540
5.69373,6783
5.70377,6667
5.71382,7225
5.72385,10115
5.73390,9467
5.74395,7330
5.75398,6959
5.76403,6823
