z:\data\725-1.D Tue Feb 24 21:32:57 2026
Start of data points
4.09733,43771
4.10737,43531
4.11742,43818
4.12747,43338
4.13750,43245
4.14755,44395
4.15758,43740
4.16763,41872
4.17767,41428
4.18772,42099
4.19777,40212
4.20780,40412
4.21785,40918
4.22788,40700
4.23793,40801
4.24798,38841
4.25802,39971
4.26807,39337
4.27810,39290
4.28815,39642
4.29820,39381
4.30823,37824
4.31828,37409
4.32832,37463
4.33837,36188
4.34840,36395
4.35845,36807
4.36850,36202
4.37853,36385
4.38858,35123
4.39862,34833
4.40867,34316
4.41872,33075
4.42875,33599
4.43880,33317
4.44883,34566
4.45888,32900
4.46893,32062
4.47897,32220
4.48902,32243
4.49905,33500
4.50910,31307
4.51915,30860
4.52918,31203
4.53923,30996
4.54927,31239
4.55932,31612
4.56935,30953
4.57940,30107
4.58945,30235
4.59948,31442
4.60953,31652
4.61957,30505
4.62962,29676
4.63967,30745
4.64970,31187
4.65975,30821
4.66978,31081
4.67983,30615
4.68988,31879
4.69992,31292
4.70997,82320
4.72000,79769
4.73005,60919
4.74010,50219
4.75013,46191
4.76018,42592
4.77022,45718
4.78027,42697
4.79030,39421
4.80035,37287
4.81040,36148
4.82043,35416
4.83048,35548
4.84052,34716
4.85057,34838
4.86062,33583
4.87065,33313
4.88070,34028
4.89073,33334
4.90078,33017
4.91083,32283
4.92087,32266
4.93092,31691
4.94095,31915
4.95100,31850
4.96105,32320
4.97108,32421
4.98113,33208
4.99117,35338
5.00122,44985
5.01125,39370
5.02130,35232
5.03135,34132
5.04138,34020
5.05143,34060
5.06147,33717
5.07152,32650
5.08157,33873
5.09160,33345
5.10165,32483
5.11168,33646
5.12173,33337
5.13178,32906
5.14182,34333
5.15187,33536
5.16190,35024
5.17195,34608
5.18200,34563
5.19203,33175
5.20208,34205
5.21212,33345
5.22217,32938
5.23220,33297
5.24225,32308
5.25230,33514
5.26233,33817
5.27238,32419
5.28242,32096
5.29247,32507
5.30252,34363
5.31255,33888
5.32260,33470
5.33263,34156
5.34268,33735
5.35273,32107
5.36277,33482
5.37282,32257
5.38285,33115
5.39290,34008
5.40295,33291
5.41298,34367
5.42303,33746
5.43307,32781
5.44312,34016
5.45315,33746
5.46320,33329
5.47325,33912
5.48328,32498
5.49333,35360
5.50337,34886
5.51342,34151
5.52347,34856
5.53350,34990
5.54355,34629
5.55358,35229
5.56363,36143
5.57368,35845
5.58372,34770
5.59377,35965
5.60380,36283
5.61385,36764
5.62390,36407
5.63393,35912
5.64398,37235
5.65402,36365
5.66407,36853
5.67410,36336
5.68415,36965
5.69420,36620
5.70423,37043
5.71428,38799
5.72432,38742
5.73437,50405
5.74442,45321
5.75445,40272
5.76450,41292
5.77453,39636
5.78458,39495
5.79463,40594
5.80467,41130
5.81472,39949
5.82475,40811
5.83480,42143
5.84485,43125
5.85488,42512
5.86493,42182
5.87497,44958
5.88502,55598
5.89505,44571
5.90510,42164
5.91515,40384
5.92518,42102
5.93523,40808
5.94527,42111
5.95532,44161
5.96537,47311
5.97540,51342
5.98545,52560
5.99548,54507
6.00553,54531
6.01558,55436
6.02562,54698
6.03567,56267
6.04570,54046
6.05575,52450
6.06580,51313
6.07583,51052
6.08588,52234
6.09592,51965
6.10597,52023
6.11600,50691
6.12605,49826
6.13610,51695
6.14613,51771
6.15618,48661
6.16622,50828
6.17627,50545
6.18632,51892
6.19635,50260
6.20640,49237
6.21643,48036
6.22648,49270
6.23653,50057
6.24657,47984
6.25662,49089
6.26665,49369
6.27670,50211
6.28675,51184
6.29678,51418
6.30683,50125
6.31687,50510
6.32692,48349
6.33695,47859
6.34700,49335
6.35705,48691
6.36708,48140
6.37713,47705
6.38717,48060
6.39722,48944
6.40727,50334
6.41730,48719
6.42735,47291
6.43738,47381
6.44743,47576
6.45748,48732
6.46752,48846
6.47757,47707
6.48760,48646
6.49765,50136
6.50770,51041
6.51773,47465
6.52778,46481
6.53782,48675
6.54787,48204
6.55790,48132
6.56795,50177
6.57800,50717
6.58803,50014
6.59808,48542
6.60812,50360
6.61817,48390
6.62822,48343
6.63825,49710
6.64830,50445
6.65833,51979
6.66838,50780
6.67843,52869
6.68847,49581
6.69852,48262
6.70855,48965
6.71860,49669
6.72865,51845
6.73868,52760
6.74873,55492
6.75877,57551
6.76882,60391
6.77885,61987
6.78890,58802
6.79895,57864
6.80898,55545
6.81903,54586
6.82907,54875
6.83912,483512
6.84917,1.276418E+07
6.85920,1.040649E+07
6.86925,295170
6.87928,73792
6.88933,66700
6.89938,65931
6.90942,63211
6.91947,60789
6.92950,60170
6.93955,61164
6.94960,60089
6.95963,58756
6.96968,68739
6.97972,218028
6.98977,140840
6.99980,57559
7.00985,57828
7.01990,57257
7.02993,57637
7.03998,54876
7.05002,55296
7.06007,56255
7.07012,55510
7.08015,56784
7.09020,58344
7.10023,62865
7.11028,55592
7.12033,53601
7.13037,53716
7.14042,54894
7.15045,55244
7.16050,56393
7.17055,55595
7.18058,53956
7.19063,54289
7.20067,51725
7.21072,54960
7.22075,60302
7.23080,59969
7.24085,55028
7.25088,53503
7.26093,55057
7.27097,52812
7.28102,53222
7.29107,55226
7.30110,53681
7.31115,55481
7.32118,52834
7.33123,52201
7.34128,51447
7.35132,51283
7.36137,52688
7.37140,55229
7.38145,54203
7.39150,54922
7.40153,52120
7.41158,52183
7.42162,52803
7.43167,52178
7.44170,56144
7.45175,51654
7.46180,55307
7.47183,52953
7.48188,53423
7.49192,55159
7.50197,53564
7.51202,52366
7.52205,53537
7.53210,51824
7.54213,52009
7.55218,53929
7.56223,52648
7.57227,52591
7.58232,52488
7.59235,52131
7.60240,52741
7.61245,54100
7.62248,52192
7.63253,55999
7.64257,65671
7.65262,112856
7.66265,89631
7.67270,70168
7.68275,65521
7.69278,59536
7.70283,56363
7.71287,53393
7.72292,53652
7.73297,52200
7.74300,52228
7.75305,53740
7.76308,52884
7.77313,51416
7.78318,50127
7.79322,48668
7.80327,49576
7.81330,50388
7.82335,52779
7.83340,50383
7.84343,49034
7.85348,47895
7.86352,50767
7.87357,51565
7.88360,52723
7.89365,49904
7.90370,47606
